Users,Breed,Age,Training,Rating,Difficulty Level,Dog Response,Duration Preferences
1,Dalmatian,16,Off Leash Sit,2,Advanced,Focused but Distractible,Multiple Short Sessions per Day
2,German Shepherd,20,Off Leash Sit,3.3,Advanced,Focused but Distractible,Long Sessions
3,Poodle,1,Sit,3,Basic,Needs More Guidance,Medium Sessions
4,Chihuahua,9,Fetch,3,Intermediate,Quick Learner,No strict preference
5,Beagle,22,Off Leash Down Stay,3.4,Advanced,Quick Learner,Short Sessions
6,German Shepherd,8,Play Dead,4,Intermediate,Very Responsive,Long Sessions
7,Pug,21,Off Leash Sit,4,Advanced,Quick Learner,Short Sessions
8,Dalmatian,6,Heel,5,Basic,Working on Tricks,Multiple Short Sessions per Day
9,Golden Retriever,15,On and Off Sight Stay,4.9,Advanced,Confident Learner,Long Sessions
10,Chihuahua,3,Sit,5,Basic,Quick Learner,Medium Sessions
11,Labrador Retriever,20,Off Leash Sit Stay,5,Advanced,Needs More Guidance,Multiple Short Sessions per Day
12,Chihuahua,10,Shake Hands,4,Intermediate,Confident Learner,No strict preference
13,Golden Retriever,19,Long Stay Off Leash,1.6,Advanced,Focused but Distractible,Long Sessions
14,Pomeranian,6,Sit Stay,4.4,Basic,Confident Learner,Medium Sessions
15,Pomeranian,18,Long Stay Off Leash,4,Advanced,Working on Tricks,Multiple Short Sessions per Day
16,Dalmatian,21,Off Leash Down Stay,4.3,Advanced,Very Responsive,Short Sessions
17,Chihuahua,16,Off Leash Sit,2.9,Advanced,Working on Tricks,Multiple Short Sessions per Day
18,Beagle,8,Roll Over,4,Intermediate,Focused but Distractible,Medium Sessions
19,Beagle,10,Loose Leash Walking,3.7,Intermediate,Focused but Distractible,Medium Sessions
20,Pug,20,Long Stay Off Leash,2.3,Advanced,Very Responsive,Medium Sessions
21,Pomeranian,19,On and Off Sight Stay,5,Advanced,Working on Tricks,Multiple Short Sessions per Day
22,Rottweiler,18,Off Leash Down Stay,5,Advanced,Focused but Distractible,Multiple Short Sessions per Day
23,Pug,19,Off Leash Sit,4.2,Advanced,Very Responsive,Multiple Short Sessions per Day
24,Bulldog,19,Off Leash Down Stay,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
25,Aspin,18,Off Leash Sit Stay,3,Advanced,Focused but Distractible,Long Sessions
26,German Shepherd,5,Heel,4,Basic,Confident Learner,Multiple Short Sessions per Day
27,Pug,22,Off Leash Sit Stay,2,Advanced,Confident Learner,Multiple Short Sessions per Day
28,Shih Tzu,3,Down Stay,3,Basic,Focused but Distractible,No strict preference
29,Golden Retriever,21,Off Leash Sit Stay,3,Advanced,Shy or Timid,Long Sessions
30,Shih Tzu,11,Shake Hands,3.6,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
31,Labrador Retriever,20,On and Off Sight Stay,4.7,Advanced,Very Responsive to Treats,Long Sessions
32,Pomeranian,13,Off Leash Down,4.6,Intermediate,Very Responsive,Short Sessions
33,German Shepherd,19,Off Leash Commands,4.3,Advanced,Needs More Guidance,Long Sessions
34,Pomeranian,15,Off Leash Commands,3,Advanced,Very Responsive,Medium Sessions
35,Labrador Retriever,12,Loose Leash Heeling,5,Intermediate,Very Responsive to Treats,Multiple Short Sessions per Day
36,Aspin,6,Watch Me,5,Basic,Shy or Timid,Short Sessions
37,Siberian Husky,21,Long Stay Off Leash,2,Advanced,Working on Tricks,No strict preference
38,Beagle,11,Loose Leash Commands,5,Intermediate,Focused but Distractible,Medium Sessions
39,Golden Retriever,21,Off Leash Down Stay,3,Advanced,Working on Tricks,Medium Sessions
40,Shih Tzu,12,Fetch,3,Intermediate,Focused but Distractible,Medium Sessions
41,Rottweiler,4,Down Stay,2.2,Basic,Confident Learner,Long Sessions
42,Golden Retriever,23,Off Leash Sit,2,Advanced,Shy or Timid,Long Sessions
43,German Shepherd,14,Long Stay Off Leash,3,Advanced,Confident Learner,Multiple Short Sessions per Day
44,Chihuahua,7,Loose Leash Commands,5,Intermediate,Focused but Distractible,Medium Sessions
45,Siberian Husky,17,Off Leash Sit Stay,3,Advanced,Very Responsive,Multiple Short Sessions per Day
46,German Shepherd,20,Off Leash Commands,3,Advanced,Very Responsive,Long Sessions
47,Dalmatian,15,Off Leash Down,2.4,Advanced,Working on Tricks,No strict preference
48,Beagle,17,Off Leash Down,3,Advanced,Confident Learner,No strict preference
49,Dalmatian,6,Sit,3,Basic,Working on Tricks,Multiple Short Sessions per Day
50,Pomeranian,18,Off Leash Sit,5,Advanced,Shy or Timid,No strict preference
51,Shih Tzu,10,Roll Over,3.3,Intermediate,Needs More Guidance,Long Sessions
52,Beagle,17,Off Leash Sit Stay,4.3,Advanced,Working on Tricks,No strict preference
53,Siberian Husky,16,Off Leash Sit Stay,2.9,Advanced,Confident Learner,No strict preference
54,Dalmatian,15,Off Leash Sit,4,Advanced,Very Responsive to Treats,Multiple Short Sessions per Day
55,Pomeranian,11,Shake Hands,3.7,Intermediate,Focused but Distractible,Medium Sessions
56,Aspin,24,Long Stay Off Leash,2.3,Advanced,Focused but Distractible,No strict preference
57,Doberman Pinscher,14,Off Leash Down Stay,5,Advanced,Confident Learner,Multiple Short Sessions per Day
58,Pomeranian,1,Imprinting,5,Basic,Confident Learner,Multiple Short Sessions per Day
59,German Shepherd,19,On and Off Sight Stay,4.2,Advanced,Very Responsive to Treats,Medium Sessions
60,Shih Tzu,19,Off Leash Down,3.1,Advanced,Confident Learner,Long Sessions
61,Dalmatian,10,Roll Over,2,Intermediate,Needs More Guidance,Long Sessions
62,German Shepherd,13,On and Off Sight Stay,4,Intermediate,Working on Tricks,Long Sessions
63,Shih Tzu,23,On and Off Sight Stay,3,Advanced,Shy or Timid,Medium Sessions
64,Labrador Retriever,2,Wait,5,Basic,Very Responsive,Short Sessions
65,Labrador Retriever,11,Loose Leash Commands,3,Intermediate,Very Responsive,No strict preference
66,Beagle,5,Sit,3,Basic,Shy or Timid,No strict preference
67,Labrador Retriever,1,Sit,4,Basic,Very Responsive to Treats,Long Sessions
68,Doberman Pinscher,17,Long Stay Off Leash,4.3,Advanced,Quick Learner,Short Sessions
69,Beagle,20,Off Leash Down,2.9,Advanced,Focused but Distractible,Short Sessions
70,Rottweiler,16,Off Leash Down,4,Advanced,Working on Tricks,Short Sessions
71,Pomeranian,23,Off Leash Sit Stay,3.7,Advanced,Very Responsive to Treats,Short Sessions
72,Golden Retriever,7,Loose Leash Walking,2.3,Intermediate,Confident Learner,Long Sessions
73,Bulldog,15,Off Leash Sit Stay,5,Advanced,Needs More Guidance,Short Sessions
74,Shih Tzu,4,Wait,5,Basic,Very Responsive to Treats,No strict preference
75,Doberman Pinscher,14,Off Leash Sit,4.2,Advanced,Shy or Timid,Short Sessions
76,Doberman Pinscher,1,Watch Me,3.1,Basic,Confident Learner,Multiple Short Sessions per Day
77,Pug,13,On and Off Sight Stay,3,Intermediate,Very Responsive,Short Sessions
78,Beagle,2,Down,4,Basic,Quick Learner,Short Sessions
79,Bulldog,20,On and Off Sight Stay,2,Advanced,Very Responsive,Medium Sessions
80,Doberman Pinscher,4,Wait,3,Basic,Working on Tricks,Multiple Short Sessions per Day
81,Dalmatian,13,On and Off Sight Stay,3,Intermediate,Shy or Timid,Long Sessions
82,Labrador Retriever,17,Off Leash Commands,3.6,Advanced,Focused but Distractible,Medium Sessions
83,Chihuahua,23,Off Leash Sit Stay,4.7,Advanced,Focused but Distractible,No strict preference
84,Dalmatian,18,On and Off Sight Stay,4.6,Advanced,Shy or Timid,No strict preference
85,Pomeranian,14,Off Leash Down,4,Advanced,Very Responsive to Treats,No strict preference
86,Aspin,12,Shake Hands,3.3,Intermediate,Working on Tricks,No strict preference
87,Pug,17,Off Leash Down,4.3,Advanced,Quick Learner,Multiple Short Sessions per Day
88,Labrador Retriever,7,Roll Over,2.9,Intermediate,Needs More Guidance,Medium Sessions
89,German Shepherd,15,Off Leash Sit Stay,4,Advanced,Focused but Distractible,Long Sessions
90,Beagle,24,Off Leash Down,3.7,Advanced,Working on Tricks,Multiple Short Sessions per Day
91,Chihuahua,16,Long Stay Off Leash,2.3,Advanced,Quick Learner,Medium Sessions
92,Labrador Retriever,21,Off Leash Down,5,Advanced,Shy or Timid,Long Sessions
93,Golden Retriever,2,Down,5,Basic,Focused but Distractible,Long Sessions
94,Pomeranian,8,Shake Hands,4.2,Intermediate,Confident Learner,Short Sessions
95,Chihuahua,14,Off Leash Sit,3.1,Advanced,Very Responsive to Treats,No strict preference
96,Rottweiler,16,On and Off Sight Stay,3,Advanced,Very Responsive,Medium Sessions
97,German Shepherd,15,Off Leash Sit Stay,4,Advanced,Focused but Distractible,Medium Sessions
98,Aspin,10,Fetch,4,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
99,Golden Retriever,13,Off Leash Sit,5,Intermediate,Needs More Guidance,Multiple Short Sessions per Day
100,Beagle,11,Loose Leash Walking,5,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
101,Pug,21,Off Leash Sit,2,Advanced,Focused but Distractible,Short Sessions
102,Dalmatian,6,Off Leash Sit,3.3,Advanced,Needs More Guidance,Multiple Short Sessions per Day
103,German Shepherd,15,Off Leash Sit,4.3,Intermediate,Quick Learner,Long Sessions
104,Poodle,3,Sit,2.9,Advanced,Quick Learner,Medium Sessions
105,Chihuahua,20,Fetch,4,Basic,Very Responsive,No strict preference
106,Beagle,10,Off Leash Down Stay,3.7,Advanced,Quick Learner,Short Sessions
107,German Shepherd,19,Play Dead,2.3,Basic,Working on Tricks,Long Sessions
108,Pug,6,Off Leash Sit,5,Advanced,Confident Learner,Short Sessions
109,Dalmatian,18,Heel,5,Intermediate,Quick Learner,Multiple Short Sessions per Day
110,Golden Retriever,21,On and Off Sight Stay,4.2,Advanced,Needs More Guidance,Long Sessions
111,Chihuahua,16,Sit,3.1,Basic,Confident Learner,Medium Sessions
112,Labrador Retriever,8,Off Leash Sit Stay,5,Advanced,Focused but Distractible,Multiple Short Sessions per Day
113,Chihuahua,10,Shake Hands,4,Advanced,Confident Learner,No strict preference
114,Golden Retriever,20,Long Stay Off Leash,5,Advanced,Working on Tricks,Long Sessions
115,Pomeranian,19,Sit Stay,4,Intermediate,Very Responsive,Medium Sessions
116,Pomeranian,18,Long Stay Off Leash,1,Intermediate,Working on Tricks,Multiple Short Sessions per Day
117,Dalmatian,19,Off Leash Down Stay,4.3,Advanced,Focused but Distractible,Short Sessions
118,Chihuahua,19,Off Leash Sit,2.9,Advanced,Focused but Distractible,Multiple Short Sessions per Day
119,Beagle,18,Roll Over,4,Advanced,Very Responsive,Medium Sessions
120,Beagle,5,Loose Leash Walking,3.7,Advanced,Focused but Distractible,Medium Sessions
121,Pug,22,Long Stay Off Leash,2.3,Advanced,Focused but Distractible,Medium Sessions
122,Pomeranian,3,On and Off Sight Stay,5,Advanced,Needs More Guidance,Multiple Short Sessions per Day
123,Rottweiler,21,Off Leash Down Stay,5,Basic,Quick Learner,Multiple Short Sessions per Day
124,Pug,11,Off Leash Sit,4.2,Advanced,Quick Learner,Multiple Short Sessions per Day
125,Bulldog,20,Off Leash Down Stay,3.1,Basic,Very Responsive,Multiple Short Sessions per Day
126,Aspin,13,Off Leash Sit Stay,3,Advanced,Quick Learner,Long Sessions
127,German Shepherd,19,Heel,4,Intermediate,Working on Tricks,Multiple Short Sessions per Day
128,Pug,15,Off Leash Sit Stay,2,Advanced,Confident Learner,Multiple Short Sessions per Day
129,Shih Tzu,12,Down Stay,3,Advanced,Quick Learner,No strict preference
130,Golden Retriever,6,Off Leash Sit Stay,3,Advanced,Needs More Guidance,Long Sessions
131,Shih Tzu,21,Shake Hands,3.6,Advanced,Confident Learner,Multiple Short Sessions per Day
132,Labrador Retriever,11,On and Off Sight Stay,4.7,Intermediate,Focused but Distractible,Long Sessions
133,Pomeranian,21,Off Leash Down,4.6,Basic,Confident Learner,Short Sessions
134,German Shepherd,12,Off Leash Commands,3.3,Advanced,Working on Tricks,Long Sessions
135,Pomeranian,4,Off Leash Commands,4.3,Intermediate,Focused but Distractible,Medium Sessions
136,Labrador Retriever,23,Loose Leash Heeling,2.9,Advanced,Focused but Distractible,Multiple Short Sessions per Day
